,Ps_inv [$],Pt_inv [$],Sto_inv [$],Thermal_operating [$],Grid_buys_energy [$],Grid_buys_distribution [$],Grid_sells_energy [$],Total [$],Zone,As
0,0.0,0.0,0.0,0.0,214.7315653109149,193.85696124054476,0.0,408.58852655145967,4,150000
1,0.0,0.0,50.0,0.0,151.16279599923718,148.22548826830393,1.8647882256908517,347.52349604185025,1,150000
2,0.0,0.0,0.0,0.0,214.7315653109149,193.85696124054476,0.0,408.58852655145967,4,150000
3,0.0,0.0,0.0,0.0,214.7315653109149,193.85696124054476,0.0,408.58852655145967,4,150000
4,0.0,0.0,100.0,0.0,129.96172133630333,81.73774171250092,7.962074126828245,303.737388921976,2,150000
5,0.0,0.0,0.0,0.0,214.7315653109149,193.85696124054476,0.0,408.58852655145967,4,150000
6,0.0,0.0,100.0,0.0,119.52307336328683,101.63194701043152,6.533481085065868,314.62153928865246,2,150000
7,0.0,0.0,100.0,0.0,116.83467601439855,94.41738714108139,6.032547808483227,305.21951534699673,2,150000
8,0.0,0.0,100.0,0.0,119.53196050233906,98.43263123001648,6.5334785052012,311.43111322715436,2,150000
9,0.0,0.0,0.0,0.0,214.7315653109149,193.85696124054476,0.0,408.58852655145967,4,150000
10,0.0,0.0,50.0,0.0,151.16279599923715,137.57113616048534,1.8647882256908517,336.8691439340316,1,150000
11,0.0,0.0,50.0,0.0,151.16279599923718,142.52881814236957,1.8647882256908517,341.8268259159159,1,150000
12,0.0,0.0,0.0,0.0,214.7315653109149,193.85696124054476,0.0,408.58852655145967,4,150000
13,0.0,0.0,25.0,0.0,174.71868860186495,173.93715204099033,0.10954490752431587,373.546295735331,3,150000
14,0.0,0.0,25.0,0.0,174.71868860186493,173.96435744643662,0.10954490752431587,373.57350114077724,3,150000
15,0.0,0.0,0.0,0.0,214.7315653109149,193.85696124054476,0.0,408.58852655145967,4,150000
16,0.0,0.0,0.0,0.0,214.7315653109149,193.85696124054476,0.0,408.58852655145967,4,150000
17,0.0,0.0,25.0,0.0,174.71868860186493,173.91009611579372,0.10954490752431587,373.5192398101343,3,150000
18,0.0,0.0,25.0,0.0,174.71868860186495,171.4241826778322,0.10954490752431587,371.03332637217284,3,150000
19,0.0,0.0,0.0,0.0,214.7315653109149,193.85696124054476,0.0,408.58852655145967,4,150000
20,0.0,0.0,0.0,0.0,214.7315653109149,193.85696124054476,0.0,408.58852655145967,4,150000
21,0.0,0.0,25.0,0.0,174.71868860186493,173.9725085165235,0.10954490752431587,373.58165221086415,3,150000
22,0.0,0.0,25.0,0.0,174.71868860186495,171.38897568254873,0.10954490752431587,370.99811937688935,3,150000
23,0.0,0.0,50.0,0.0,151.16279599923715,142.12975352597357,1.8647882256908517,341.42776129951983,1,150000
24,0.0,0.0,0.0,0.0,214.7315653109149,193.85696124054476,0.0,408.58852655145967,4,150000
